,win,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA
13982,1,1.91,3.4,4.0,1.91,3.3,4.1,1.95,3.4,3.65,1.8,3.5,4.5
13983,0,1.57,3.8,6.0,1.6,3.6,6.0,1.6,3.7,5.4,1.6,3.75,6.0
13984,2,1.62,4.0,5.5,1.67,3.7,5.0,1.7,3.7,4.5,1.65,3.8,5.25
13985,2,1.44,4.5,6.5,1.5,4.2,6.0,1.6,3.7,5.4,1.5,4.33,6.5
13986,0,2.7,3.2,2.7,2.7,3.2,2.6,2.75,3.3,2.4,2.7,3.4,2.6
13987,1,1.44,4.2,8.5,1.5,4.33,7.0,1.55,4.0,5.5,1.5,4.0,7.0
13988,1,3.8,3.25,2.1,3.5,3.25,2.1,3.6,3.3,2.0,4.0,3.3,1.9
13989,0,1.5,4.2,7.0,1.53,3.9,6.25,1.6,3.7,5.4,1.53,4.0,6.0
13990,2,2.1,3.4,3.6,2.1,3.2,3.5,2.2,3.2,3.2,2.1,3.3,3.5
13991,2,7.5,5.0,1.4,8.0,5.0,1.4,8.0,4.7,1.35,7.0,4.75,1.44
13992,0,2.2,3.3,3.3,2.3,3.3,3.0,2.2,3.3,3.1,2.3,3.2,3.2
13993,1,1.73,3.6,4.75,1.8,3.6,4.2,1.8,3.5,4.2,1.8,3.6,4.5
13994,2,5.5,4.33,1.57,5.5,4.33,1.6,6.1,4.0,1.5,5.0,4.33,1.62
13995,1,1.73,3.75,5.0,1.72,3.7,4.5,1.8,3.5,4.2,1.73,3.75,4.75
13996,0,2.75,3.5,2.5,2.8,3.6,2.45,2.55,3.4,2.55,2.7,3.6,2.4
13997,1,1.7,4.0,4.75,1.7,3.8,4.6,1.7,3.6,4.7,1.73,4.0,4.5
13998,1,1.57,3.75,6.0,1.62,3.75,5.5,1.7,3.6,4.7,1.61,4.0,5.5
13999,2,2.38,3.2,3.0,2.45,3.2,2.85,2.4,3.2,2.85,2.37,3.25,3.0
14000,1,1.44,4.5,6.0,1.5,4.1,6.25,1.5,4.0,6.1,1.5,4.33,7.0
14001,2,1.85,3.75,4.2,1.85,3.6,4.0,2.0,3.3,3.6,1.85,3.6,4.0
14002,1,1.4,5.0,7.5,1.4,4.75,7.0,1.45,4.0,7.0,1.36,4.75,7.5
14003,1,1.53,4.33,6.0,1.55,4.0,5.75,1.55,3.9,5.6,1.53,4.2,6.0
14004,2,2.38,3.3,2.9,2.5,3.2,2.8,2.4,3.2,2.85,2.5,3.3,2.8
14005,2,4.5,3.5,1.8,4.4,3.4,1.91,3.8,3.45,1.9,4.5,3.3,1.85
14006,1,1.53,4.33,6.0,1.55,3.75,6.25,1.65,3.7,4.9,1.57,4.2,5.5
14007,1,1.62,3.8,6.0,1.62,3.75,5.25,1.6,3.9,5.0,1.6,3.8,6.0
14008,0,3.2,3.3,2.3,3.0,3.4,2.35,2.75,3.2,2.5,3.1,3.3,2.3
14009,1,2.0,3.5,3.8,2.0,3.4,3.9,2.0,3.3,3.6,1.95,3.5,3.8
