,win,home_team_api_id,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,away_team_api_id,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA
32,-1,2033,45,52,53,37,43,37,31,44,9773,45,52,53,37,43,37,31,44,9.0,5.0,1.0,9.0,4.5,1.34,8.0,4.0,1.35,8.0,4.33,1.3
33,0,2033,45,52,53,37,43,37,31,44,9764,45,52,53,37,43,37,31,44,2.1,3.1,3.0,2.1,3.1,3.6,2.1,2.9,3.4,2.1,3.0,3.2
34,-1,2033,45,52,53,37,43,37,31,44,9768,45,52,53,37,43,37,31,44,3.75,3.3,2.0,3.8,3.3,1.95,3.2,3.1,2.1,3.25,3.0,2.1
35,0,2033,45,52,53,37,43,37,31,44,10215,45,52,53,37,43,37,31,44,2.6,3.2,2.0,2.65,2.9,2.8,2.4,3.0,2.8,2.5,3.1,2.5
36,-1,2033,45,52,53,37,43,37,31,44,10238,45,52,53,37,43,37,31,44,2.0,3.3,3.0,2.0,3.0,4.0,2.0,2.9,3.7,1.9,3.2,3.75
37,-1,2033,45,52,53,37,43,37,31,44,7844,45,52,53,37,43,37,31,44,2.38,3.1,3.0,2.4,2.95,3.1,2.3,3.1,2.8,2.37,3.1,2.9
38,-1,2033,45,52,53,37,43,37,31,44,10264,45,52,53,37,43,37,31,44,5.5,3.8,1.0,4.75,3.7,1.67,4.5,3.3,1.7,4.33,3.4,1.72
39,-1,2033,45,52,53,37,43,37,31,44,6403,45,52,53,37,43,37,31,44,3.5,3.1,2.0,3.3,3.0,2.25,3.0,3.1,2.2,3.0,3.2,2.1
40,-1,2033,45,52,53,37,43,37,31,44,9772,45,52,53,37,43,37,31,44,13.0,5.25,1.0,12.5,5.5,1.22,10.0,4.8,1.25,11.0,5.0,1.25
41,1,2033,45,52,53,37,43,37,31,44,7842,45,52,53,37,43,37,31,44,2.5,3.0,3.0,2.4,3.0,3.0,2.1,2.9,3.4,2.0,3.1,3.3
42,1,2033,45,52,53,37,43,37,31,44,10211,45,52,53,37,43,37,31,44,2.0,3.4,3.0,2.05,3.2,3.6,2.0,3.0,3.6,1.91,3.2,3.4
43,-1,2033,45,52,53,37,43,37,31,44,10214,45,52,53,37,43,37,31,44,2.5,3.2,2.0,2.4,2.95,3.1,2.3,2.9,3.0,2.38,3.0,2.75
44,0,2033,45,52,53,37,43,37,31,44,8348,45,52,53,37,43,37,31,44,2.2,3.2,3.0,2.15,3.2,3.3,2.2,3.0,3.1,2.25,3.0,2.88
45,0,2033,45,40,53,37,44,37,24,44,9773,45,40,53,37,44,37,24,44,11.0,4.5,1.0,10.0,4.75,1.3,8.5,4.4,1.3,10.0,5.0,1.22
46,-1,2033,45,40,53,37,44,37,24,44,10215,45,40,53,37,44,37,24,44,2.3,3.2,3.0,2.2,3.0,3.4,2.2,3.0,3.1,2.1,3.0,3.2
47,1,2033,45,40,53,37,44,37,24,44,7844,45,40,53,37,44,37,24,44,2.9,3.2,2.0,2.9,3.0,2.5,2.8,2.9,2.5,2.5,3.1,2.5
48,1,2033,45,40,53,37,44,37,24,44,9771,45,40,53,37,44,37,24,44,2.3,3.1,3.0,2.3,3.0,3.2,2.2,3.0,3.1,2.1,3.0,3.2
49,0,2033,45,40,53,37,44,37,24,44,10212,45,40,53,37,44,37,24,44,2.7,3.2,2.0,2.7,2.95,2.7,2.7,2.7,2.7,2.62,2.88,2.5
50,-1,2033,45,40,53,37,44,37,24,44,6403,45,40,53,37,44,37,24,44,2.4,3.1,3.0,2.35,3.0,3.1,2.2,2.9,3.2,2.25,3.0,2.88
51,0,2033,45,40,53,37,44,37,24,44,9772,45,40,53,37,44,37,24,44,8.5,4.33,1.0,7.75,4.25,1.4,7.5,3.7,1.4,7.0,3.75,1.4
52,0,2033,45,40,53,37,44,37,24,44,9764,45,40,53,37,44,37,24,44,2.3,3.1,3.0,2.35,3.0,3.1,2.3,2.8,3.1,2.2,3.0,3.0
53,0,2033,45,40,53,37,44,37,24,44,10238,45,40,53,37,44,37,24,44,2.2,3.2,3.0,2.2,3.0,3.4,2.25,2.9,3.1,2.2,3.0,3.0
54,-1,2033,45,40,53,37,44,37,24,44,7841,45,40,53,37,44,37,24,44,2.3,3.2,3.0,2.15,3.1,3.4,2.3,2.9,3.0,2.1,3.0,3.2
55,0,2033,45,40,53,37,44,37,24,44,9768,45,40,53,37,44,37,24,44,5.5,3.6,1.0,5.5,3.6,1.62,4.5,3.3,1.7,4.5,3.25,1.67
56,1,2033,45,40,53,37,44,37,24,44,10211,45,40,53,37,44,37,24,44,2.3,3.2,3.0,2.5,2.95,2.95,2.3,2.9,3.0,2.25,3.2,2.75
57,-1,2033,45,40,53,37,44,37,24,44,10264,45,40,53,37,44,37,24,44,5.0,3.5,1.0,4.75,3.35,1.75,4.0,3.0,1.9,4.0,3.1,1.8
58,0,2033,45,40,53,37,44,37,24,44,10214,45,40,53,37,44,37,24,44,2.5,3.0,3.0,2.5,3.0,2.9,2.4,2.9,2.9,2.3,2.9,2.88
59,0,2033,65,55,50,50,65,50,45,35,9772,65,55,50,50,65,50,45,35,5.25,3.4,1.0,4.6,3.6,1.65,4.3,3.2,1.75,4.0,3.4,1.73
60,1,2033,65,55,50,50,65,50,45,35,10238,65,55,50,50,65,50,45,35,1.95,3.2,4.0,1.9,3.15,3.9,2.1,3.0,3.3,2.0,3.2,3.2
61,0,2033,65,55,50,50,65,50,45,35,6403,65,55,50,50,65,50,45,35,2.4,3.1,3.0,2.3,3.0,3.0,2.1,2.9,3.4,2.5,3.1,2.5
62,0,2033,65,55,50,50,65,50,45,35,10212,65,55,50,50,65,50,45,35,2.4,3.1,3.0,2.25,2.95,3.2,2.3,3.0,2.9,2.2,3.1,2.88
63,1,2033,65,55,50,50,65,50,45,35,9771,65,55,50,50,65,50,45,35,2.4,3.1,3.0,2.35,2.9,3.0,2.4,2.9,2.9,2.2,3.2,2.8
64,-1,2033,65,55,50,50,65,50,45,35,10264,65,55,50,50,65,50,45,35,3.25,3.2,2.0,3.75,3.0,2.0,3.5,3.0,2.0,3.0,3.2,2.1
65,0,2033,65,55,50,50,65,50,45,35,7841,65,55,50,50,65,50,45,35,3.0,3.25,2.0,3.0,3.1,2.25,3.1,3.0,2.2,2.6,3.2,2.38
66,-1,2033,65,55,50,50,65,50,45,35,9809,65,55,50,50,65,50,45,35,2.1,3.25,3.0,2.05,3.0,3.6,2.1,3.1,3.2,2.0,3.1,3.3
67,0,2033,65,55,50,50,65,50,45,35,7844,65,55,50,50,65,50,45,35,3.0,3.0,2.0,2.8,3.0,2.45,2.7,3.0,2.5,2.75,3.2,2.25
68,0,2033,65,55,50,50,65,50,45,35,10214,65,55,50,50,65,50,45,35,2.63,3.0,2.0,2.45,3.0,2.8,2.4,2.9,2.9,2.4,3.2,2.5
69,1,2033,65,55,50,50,65,50,45,35,10215,65,55,50,50,65,50,45,35,2.3,3.1,3.0,2.2,2.85,3.4,2.1,2.9,3.4,2.1,3.0,3.2
70,-1,2033,65,55,50,50,65,50,45,35,9773,65,55,50,50,65,50,45,35,7.0,4.33,1.0,7.5,4.25,1.37,7.5,3.7,1.4,7.0,3.75,1.4
71,0,2033,65,55,50,50,65,50,45,35,9768,65,55,50,50,65,50,45,35,4.2,3.3,1.0,4.0,3.25,1.85,3.8,3.2,1.85,3.75,3.2,1.83
72,0,2033,65,55,50,50,65,50,45,35,10211,65,55,50,50,65,50,45,35,2.1,3.2,3.0,2.15,3.0,3.3,2.1,2.9,3.4,2.0,3.2,3.2
73,-1,2033,45,55,50,60,45,50,45,60,7844,45,55,50,60,45,50,45,60,2.63,3.0,2.0,2.6,3.0,2.6,2.5,3.0,2.7,2.6,3.0,2.5
74,-1,2033,45,55,50,60,45,50,45,60,7841,45,55,50,60,45,50,45,60,2.35,3.0,3.0,2.35,2.9,3.0,2.3,3.0,2.9,2.3,3.0,2.8
75,-1,2033,45,55,50,60,45,50,45,60,9773,45,55,50,60,45,50,45,60,7.0,3.8,1.0,6.5,3.9,1.45,6.3,3.5,1.5,7.0,3.75,1.4
76,-1,2033,45,55,50,60,45,50,45,60,10264,45,55,50,60,45,50,45,60,4.2,3.25,1.0,4.0,3.2,1.85,4.0,3.0,1.9,3.75,3.2,1.83
77,0,2033,45,55,50,60,45,50,45,60,6403,45,55,50,60,45,50,45,60,2.38,3.1,2.0,2.45,2.9,2.85,2.4,3.0,2.8,2.38,3.2,2.6
78,1,2033,45,55,50,60,45,50,45,60,10215,45,55,50,60,45,50,45,60,2.3,3.0,3.0,2.35,2.75,3.2,2.4,3.0,2.8,2.25,3.25,2.7
79,1,2033,45,55,50,60,45,50,45,60,10214,45,55,50,60,45,50,45,60,2.63,3.0,2.0,2.65,2.9,2.65,2.6,2.9,2.6,2.75,3.2,2.25
80,1,2033,45,55,50,60,45,50,45,60,6421,45,55,50,60,45,50,45,60,1.95,3.2,4.0,1.9,3.15,3.85,1.9,3.1,3.8,2.0,3.0,3.5
81,1,2033,45,55,50,60,45,50,45,60,9809,45,55,50,60,45,50,45,60,2.3,3.1,3.0,2.4,3.0,2.85,2.2,2.9,3.2,2.2,3.1,2.88
82,-1,2033,45,55,50,60,45,50,45,60,10212,45,55,50,60,45,50,45,60,2.2,3.2,3.0,2.2,3.0,3.2,2.0,3.1,3.4,2.1,3.0,3.2
83,0,2033,45,55,50,60,45,50,45,60,10238,45,55,50,60,45,50,45,60,2.0,3.2,3.0,2.2,2.9,3.3,2.3,2.8,3.1,2.1,3.1,3.1
84,-1,2033,45,55,50,60,45,50,45,60,9807,45,55,50,60,45,50,45,60,1.91,3.3,4.0,1.9,3.15,3.85,1.8,3.0,4.4,1.8,3.1,4.0
85,0,2033,45,55,50,60,45,50,45,60,9768,45,55,50,60,45,50,45,60,4.5,3.4,1.0,4.2,3.25,1.8,3.4,3.1,2.0,3.75,3.2,1.83
86,0,2033,45,55,50,60,45,50,45,60,9772,45,55,50,60,45,50,45,60,8.5,4.33,1.0,8.5,3.7,1.4,7.0,3.6,1.45,8.0,3.75,1.36
87,0,2033,45,55,50,60,45,50,45,60,9771,45,55,50,60,45,50,45,60,2.15,3.1,3.0,2.2,2.8,3.45,2.25,2.9,3.1,2.0,3.2,3.2
88,-1,2033,45,40,53,37,44,37,24,44,7844,45,40,53,37,44,37,24,44,4.2,3.25,1.0,4.0,3.2,1.95,3.2,3.1,2.1,4.33,3.0,1.85
89,0,2033,45,40,53,37,44,37,24,44,10212,45,40,53,37,44,37,24,44,3.75,3.4,2.0,3.7,3.25,2.0,3.3,3.2,2.0,3.6,3.1,2.0
90,1,2033,45,40,53,37,44,37,24,44,6403,45,40,53,37,44,37,24,44,2.6,3.2,2.0,2.65,3.1,2.6,2.6,3.0,2.6,2.6,3.0,2.6
91,-1,2033,45,40,53,37,44,37,24,44,7842,45,40,53,37,44,37,24,44,3.8,3.3,2.0,3.9,3.25,1.95,3.3,3.2,2.0,3.9,3.1,1.9
92,1,2033,45,40,53,37,44,37,24,44,9764,45,40,53,37,44,37,24,44,2.9,3.1,2.0,2.75,3.2,2.5,2.7,3.1,2.4,2.87,2.9,2.5
93,1,2033,45,40,53,37,44,37,24,44,10238,45,40,53,37,44,37,24,44,2.9,3.1,2.0,3.1,3.1,2.3,2.6,3.1,2.5,2.9,2.9,2.4
94,0,2033,45,40,53,37,44,37,24,44,9807,45,40,53,37,44,37,24,44,2.7,3.1,2.0,2.6,3.0,2.75,2.6,3.0,2.6,2.62,2.87,2.7
95,-1,2033,45,40,53,37,44,37,24,44,9768,45,40,53,37,44,37,24,44,7.0,4.0,1.0,6.5,4.0,1.48,5.5,3.8,1.5,6.5,3.8,1.45
96,0,2033,45,40,53,37,44,37,24,44,10214,45,40,53,37,44,37,24,44,5.0,3.4,1.0,4.5,3.3,1.8,3.6,3.2,1.9,4.8,3.1,1.75
97,1,2033,45,40,53,37,44,37,24,44,9773,45,40,53,37,44,37,24,44,5.5,3.8,1.0,5.5,3.9,1.55,5.0,3.7,1.55,5.0,3.6,1.61
98,-1,2033,45,40,53,37,44,37,24,44,10264,45,40,53,37,44,37,24,44,5.25,3.6,1.0,4.75,3.5,1.7,4.0,3.2,1.8,5.0,3.3,1.66
99,1,2033,45,40,53,37,44,37,24,44,158085,45,40,53,37,44,37,24,44,2.6,3.1,2.0,2.55,2.9,2.9,2.4,3.1,2.7,2.55,2.9,2.7
100,-1,2033,45,40,53,37,44,37,24,44,10215,45,40,53,37,44,37,24,44,2.9,3.1,2.0,2.6,3.2,2.6,2.6,3.0,2.6,2.9,2.9,2.45
101,-1,2033,45,40,53,37,44,37,24,44,9772,45,40,53,37,44,37,24,44,13.0,5.25,1.0,12.5,5.0,1.25,9.0,5.0,1.25,13.0,5.5,1.22
102,-1,2033,45,40,53,37,44,37,24,44,7841,45,40,53,37,44,37,24,44,3.6,3.3,2.0,3.3,3.2,2.15,3.2,3.1,2.1,3.6,3.0,2.05
103,-1,4087,53,44,52,52,64,47,56,50,8639,53,44,52,52,64,47,56,50,3.75,3.3,2.0,3.5,3.1,2.15,3.2,3.2,2.1,3.2,3.0,2.1
104,-1,4087,53,44,52,52,64,47,56,50,9851,53,44,52,52,64,47,56,50,2.75,3.2,2.0,2.7,3.1,2.65,2.5,3.1,2.7,2.6,3.0,2.5
105,1,4087,53,44,52,52,64,47,56,50,9873,53,44,52,52,64,47,56,50,2.25,3.1,3.0,2.2,3.2,3.3,2.2,3.0,3.2,2.2,3.0,3.0
106,0,4087,53,44,52,52,64,47,56,50,9827,53,44,52,52,64,47,56,50,2.8,3.0,2.0,2.9,3.1,2.65,2.6,3.05,2.6,2.6,3.0,2.5
107,1,4087,53,44,52,52,64,47,56,50,8583,53,44,52,52,64,47,56,50,2.6,3.1,2.0,2.75,3.1,2.6,2.6,3.05,2.6,2.5,3.1,2.5
108,1,4087,53,44,52,52,64,47,56,50,10249,53,44,52,52,64,47,56,50,3.2,3.0,2.0,3.3,3.1,2.25,2.9,3.2,2.25,3.0,3.0,2.2
109,-1,4087,53,44,52,52,64,47,56,50,9874,53,44,52,52,64,47,56,50,1.83,3.4,4.0,1.8,3.4,4.5,1.85,3.4,3.8,1.83,3.2,3.75
110,-1,4087,53,44,52,52,64,47,56,50,9853,53,44,52,52,64,47,56,50,2.4,3.1,3.0,2.45,3.1,2.95,2.4,3.1,2.8,2.38,3.0,2.75
111,1,4087,53,44,52,52,64,47,56,50,9831,53,44,52,52,64,47,56,50,2.2,3.2,3.0,2.15,3.1,3.4,2.2,3.1,3.1,2.1,3.2,3.1
112,1,4087,53,44,52,52,64,47,56,50,8481,53,44,52,52,64,47,56,50,2.1,3.25,3.0,2.2,3.0,3.5,2.1,3.1,3.3,2.05,3.0,3.4
113,1,4087,53,44,52,52,64,47,56,50,8592,53,44,52,52,64,47,56,50,3.25,3.2,2.0,3.2,3.1,2.3,3.3,3.1,2.1,3.5,3.2,1.91
114,-1,4087,53,44,52,52,64,47,56,50,9748,53,44,52,52,64,47,56,50,3.25,3.3,2.0,2.95,3.25,2.35,2.85,3.15,2.3,2.88,3.0,2.25
115,1,4087,53,44,52,52,64,47,56,50,8689,53,44,52,52,64,47,56,50,2.75,3.0,2.0,2.7,3.0,2.7,2.55,3.05,2.65,2.5,3.0,2.6
116,1,4087,53,44,52,52,64,47,56,50,9941,53,44,52,52,64,47,56,50,2.5,3.1,2.0,2.55,3.1,2.85,2.5,3.15,2.65,2.5,3.0,2.6
117,-1,4087,53,44,52,52,64,47,56,50,7819,53,44,52,52,64,47,56,50,2.1,3.2,3.0,2.05,3.2,3.7,2.2,3.0,3.2,2.1,3.2,3.6
118,0,4087,53,44,52,52,64,47,56,50,9847,53,44,52,52,64,47,56,50,3.8,3.1,2.0,3.7,3.2,2.05,3.4,3.2,2.0,3.6,3.2,2.1
119,-1,4087,53,44,52,52,64,47,56,50,9836,53,44,52,52,64,47,56,50,1.91,3.25,4.0,1.88,3.1,4.6,2.0,3.2,3.4,1.8,3.2,4.0
120,-1,4087,53,44,52,52,64,47,56,50,8521,53,44,52,52,64,47,56,50,2.5,3.25,2.0,2.6,3.1,2.75,2.6,3.1,2.6,2.5,3.25,2.38
121,1,4087,53,44,52,52,64,47,56,50,8576,53,44,52,52,64,47,56,50,2.0,3.3,3.0,1.95,3.3,3.9,2.0,3.2,3.4,1.83,3.3,3.6
122,-1,4087,61,44,52,61,48,47,56,50,8592,61,44,52,61,48,47,56,50,3.6,3.1,2.0,3.3,3.4,2.15,3.45,3.15,2.1,3.4,3.25,2.15
123,-1,4087,61,44,52,61,48,47,56,50,9873,61,44,52,61,48,47,56,50,2.15,3.1,3.0,2.15,3.2,3.5,2.1,3.15,3.45,2.2,3.1,3.5
124,0,4087,61,44,52,61,48,47,56,50,8639,61,44,52,61,48,47,56,50,3.8,3.1,2.0,3.8,3.2,2.05,3.75,3.2,2.0,3.75,3.1,2.1
125,0,4087,61,44,52,61,48,47,56,50,9837,61,44,52,61,48,47,56,50,2.1,3.1,3.0,2.1,3.1,3.7,2.1,3.2,3.4,2.1,3.2,3.75
126,1,4087,61,44,52,61,48,47,56,50,9830,61,44,52,61,48,47,56,50,2.2,3.1,3.0,2.25,3.2,3.5,2.3,3.1,3.1,2.25,3.1,3.4
127,-1,4087,61,44,52,61,48,47,56,50,9851,61,44,52,61,48,47,56,50,2.38,3.1,3.0,2.5,3.0,3.0,2.5,3.2,2.75,2.37,3.2,3.0
128,0,4087,61,44,52,61,48,47,56,50,8576,61,44,52,61,48,47,56,50,1.73,3.5,5.0,1.75,3.6,4.6,1.8,3.4,4.35,1.83,3.4,4.5
129,0,4087,61,44,52,61,48,47,56,50,9874,61,44,52,61,48,47,56,50,2.15,3.1,3.0,2.2,3.1,3.5,2.2,3.15,3.25,2.15,3.2,3.5
130,1,4087,61,44,52,61,48,47,56,50,9941,61,44,52,61,48,47,56,50,2.6,3.1,2.0,2.7,2.95,2.8,2.6,3.2,2.6,2.7,3.1,2.7
131,-1,4087,61,44,52,61,48,47,56,50,8689,61,44,52,61,48,47,56,50,2.1,3.2,3.0,2.2,3.0,3.6,2.15,3.2,3.3,2.1,3.2,3.6
132,1,4087,61,44,52,61,48,47,56,50,9847,61,44,52,61,48,47,56,50,8.5,5.0,1.0,9.25,4.75,1.33,7.5,4.6,1.37,9.5,4.75,1.33
133,-1,4087,61,44,52,61,48,47,56,50,9747,61,44,52,61,48,47,56,50,2.25,3.2,3.0,2.4,3.2,3.0,2.3,3.1,3.1,2.37,3.25,3.0
134,1,4087,61,44,52,61,48,47,56,50,9829,61,44,52,61,48,47,56,50,4.2,3.2,1.0,4.33,3.4,1.85,3.75,3.2,2.0,4.2,3.25,1.9
135,0,4087,61,44,52,61,48,47,56,50,9827,61,44,52,61,48,47,56,50,2.5,3.1,2.0,2.45,3.0,3.1,2.5,3.1,2.8,2.5,3.25,2.8
136,0,4087,61,44,52,61,48,47,56,50,10249,61,44,52,61,48,47,56,50,2.2,3.3,3.0,2.15,3.25,3.4,2.3,3.1,3.1,2.25,3.25,3.2
137,1,4087,61,44,52,61,48,47,56,50,9831,61,44,52,61,48,47,56,50,1.73,3.5,5.0,1.8,3.2,5.0,1.6,3.6,5.5,1.8,3.4,4.6
138,1,4087,61,44,52,61,48,47,56,50,7794,61,44,52,61,48,47,56,50,1.91,3.25,4.0,1.9,3.1,4.5,2.0,3.2,3.75,1.95,3.3,4.0
139,1,4087,61,44,52,61,48,47,56,50,9748,61,44,52,61,48,47,56,50,3.25,3.2,2.0,3.4,3.25,2.15,3.3,3.1,2.2,3.4,3.25,2.15
140,-1,4087,61,44,52,61,48,47,56,50,9853,61,44,52,61,48,47,56,50,3.5,3.2,2.0,3.5,3.25,2.1,3.2,3.2,2.2,3.5,3.1,2.2
141,-1,4087,53,44,52,52,64,47,56,50,10249,53,44,52,52,64,47,56,50,2.9,3.1,2.0,2.95,3.0,2.55,2.8,3.1,2.5,3.0,3.2,2.4
142,0,4087,53,44,52,52,64,47,56,50,8592,53,44,52,52,64,47,56,50,3.5,3.2,2.0,3.6,3.2,2.1,3.45,3.15,2.1,3.6,3.2,2.1
143,1,4087,53,44,52,52,64,47,56,50,9874,53,44,52,52,64,47,56,50,2.1,3.2,3.0,2.2,3.2,3.4,2.0,3.3,3.6,2.25,3.0,3.5
144,0,4087,53,44,52,52,64,47,56,50,8576,53,44,52,52,64,47,56,50,2.0,3.2,4.0,1.87,3.4,4.25,2.0,3.25,3.7,2.1,3.2,3.6
145,0,4087,53,44,52,52,64,47,56,50,9748,53,44,52,52,64,47,56,50,3.6,3.2,2.0,3.6,3.25,2.05,3.2,3.2,2.1,3.5,3.3,2.05
146,-1,4087,53,44,52,52,64,47,56,50,8521,53,44,52,52,64,47,56,50,1.83,3.4,4.0,1.78,3.5,4.6,1.9,3.35,3.9,1.85,3.4,4.33
